kingdom_number,kvk_number,opponent_kingdom,prep_result,battle_result,overall_result,kvk_date,order_index
15,4,19.0,L,L,Loss,"Aug 16, 2025",3
15,5,38.0,L,W,Battle,"Sep 13, 2025",4
15,6,33.0,L,L,Loss,"Oct 11, 2025",5
15,7,21.0,W,L,Preparation,"Nov 8, 2025",6
15,8,32.0,L,W,Battle,"Dec 6, 2025",7
15,9,1.0,L,W,Battle,"Jan 3, 2026",8
16,2,7.0,W,W,Win,"Jun 21, 2025",1
16,3,2.0,L,L,Loss,"Jul 19, 2025",2
16,4,25.0,W,L,Preparation,"Aug 16, 2025",3
16,5,49.0,L,L,Loss,"Sep 13, 2025",4
16,6,9.0,W,W,Win,"Oct 11, 2025",5
16,7,47.0,L,L,Loss,"Nov 8, 2025",6
16,8,65.0,L,L,Loss,"Dec 6, 2025",7
16,9,5.0,L,W,Battle,"Jan 3, 2026",8
17,2,30.0,W,W,Win,"Jun 21, 2025",1
17,3,42.0,L,W,Battle,"Jul 19, 2025",2
17,4,18.0,W,L,Preparation,"Aug 16, 2025",3
17,5,58.0,L,W,Battle,"Sep 13, 2025",4
17,6,66.0,L,L,Loss,"Oct 11, 2025",5
17,7,30.0,L,W,Battle,"Nov 8, 2025",6
17,8,69.0,L,L,Loss,"Dec 6, 2025",7
17,9,31.0,W,W,Win,"Jan 3, 2026",8
18,2,11.0,L,W,Battle,"Jun 21, 2025",1
18,3,3.0,L,L,Loss,"Jul 19, 2025",2
18,4,17.0,L,W,Battle,"Aug 16, 2025",3
18,5,45.0,L,L,Loss,"Sep 13, 2025",4
18,6,58.0,L,W,Battle,"Oct 11, 2025",5
18,7,61.0,L,L,Loss,"Nov 8, 2025",6
18,8,33.0,L,W,Battle,"Dec 6, 2025",7
18,9,24.0,L,W,Battle,"Jan 3, 2026",8
19,2,42.0,L,L,Loss,"Jun 21, 2025",1
19,3,26.0,L,L,Loss,"Jul 19, 2025",2
19,4,15.0,W,W,Win,"Aug 16, 2025",3
19,5,9.0,W,W,Win,"Sep 13, 2025",4
19,6,49.0,W,W,Win,"Oct 11, 2025",5
19,7,27.0,L,W,Battle,"Nov 8, 2025",6
19,8,13.0,W,L,Preparation,"Dec 6, 2025",7
19,9,37.0,W,L,Preparation,"Jan 3, 2026",8
20,2,8.0,W,W,Win,"Jun 21, 2025",1
20,3,59.0,L,L,Loss,"Jul 19, 2025",2
20,4,14.0,W,L,Preparation,"Aug 16, 2025",3
20,5,60.0,L,W,Battle,"Sep 13, 2025",4
20,6,22.0,W,L,Preparation,"Oct 11, 2025",5
20,7,5.0,W,L,Preparation,"Nov 8, 2025",6
20,8,21.0,W,W,Win,"Dec 6, 2025",7
20,9,11.0,L,L,Loss,"Jan 3, 2026",8
21,2,29.0,W,L,Preparation,"Jun 21, 2025",1
21,3,41.0,W,L,Preparation,"Jul 19, 2025",2
21,5,31.0,L,L,Loss,"Sep 13, 2025",3
21,6,65.0,W,W,Win,"Oct 11, 2025",4
21,7,15.0,L,W,Battle,"Nov 8, 2025",5
21,8,20.0,L,L,Loss,"Dec 6, 2025",6
21,9,27.0,W,W,Win,"Jan 3, 2026",7
22,2,37.0,L,W,Battle,"Jun 21, 2025",1
22,3,43.0,L,L,Loss,"Jul 19, 2025",2
22,4,23.0,W,W,Win,"Aug 16, 2025",3
22,5,56.0,W,L,Preparation,"Sep 13, 2025",4
22,6,20.0,L,W,Battle,"Oct 11, 2025",5
22,7,33.0,L,L,Loss,"Nov 8, 2025",6
22,8,67.0,W,W,Win,"Dec 6, 2025",7
22,9,4.0,W,W,Win,"Jan 3, 2026",8
23,2,28.0,W,L,Preparation,"Jun 21, 2025",1
23,3,56.0,W,L,Preparation,"Jul 19, 2025",2
23,4,22.0,L,L,Loss,"Aug 16, 2025",3
23,5,52.0,W,W,Win,"Sep 13, 2025",4
23,6,25.0,W,L,Preparation,"Oct 11, 2025",5
23,7,39.0,L,W,Battle,"Nov 8, 2025",6
23,8,93.0,L,L,Loss,"Dec 6, 2025",7
23,9,30.0,L,W,Battle,"Jan 3, 2026",8
24,2,32.0,L,W,Battle,"Jun 21, 2025",1
24,3,33.0,W,W,Win,"Jul 19, 2025",2
24,4,12.0,L,W,Battle,"Aug 16, 2025",3
24,5,57.0,W,L,Preparation,"Sep 13, 2025",4
24,6,11.0,W,W,Win,"Oct 11, 2025",5
24,7,42.0,W,W,Win,"Nov 8, 2025",6
24,8,92.0,L,L,Loss,"Dec 6, 2025",7
24,9,18.0,W,L,Preparation,"Jan 3, 2026",8
25,2,44.0,W,L,Preparation,"Jun 21, 2025",1
25,3,5.0,L,L,Loss,"Jul 19, 2025",2
25,4,16.0,L,W,Battle,"Aug 16, 2025",3
25,5,7.0,W,L,Preparation,"Sep 13, 2025",4
25,6,23.0,L,W,Battle,"Oct 11, 2025",5
25,7,4.0,L,L,Loss,"Nov 8, 2025",6
25,8,36.0,L,L,Loss,"Dec 6, 2025",7
25,9,2.0,L,W,Battle,"Jan 3, 2026",8
26,2,14.0,L,L,Loss,"Jun 21, 2025",1
26,3,19.0,W,W,Win,"Jul 19, 2025",2
26,4,57.0,L,L,Loss,"Aug 16, 2025",3
26,5,36.0,L,L,Loss,"Sep 13, 2025",4
27,2,47.0,L,L,Loss,"Jun 21, 2025",1
27,3,8.0,L,L,Loss,"Jul 19, 2025",2
27,4,34.0,L,W,Battle,"Aug 16, 2025",3
27,5,61.0,L,L,Loss,"Sep 13, 2025",4
27,6,37.0,W,W,Win,"Oct 11, 2025",5
27,7,19.0,W,L,Preparation,"Nov 8, 2025",6
27,8,7.0,W,L,Preparation,"Dec 6, 2025",7
27,9,21.0,L,L,Loss,"Jan 3, 2026",8
28,2,23.0,L,W,Battle,"Jun 21, 2025",1
28,3,9.0,W,L,Preparation,"Jul 19, 2025",2
28,4,96.0,L,W,Battle,"Aug 16, 2025",3
28,5,40.0,L,L,Loss,"Sep 13, 2025",4
28,6,46.0,L,L,Loss,"Oct 11, 2025",5
28,7,32.0,W,W,Win,"Nov 8, 2025",6
28,8,42.0,L,W,Battle,"Dec 6, 2025",7
28,9,34.0,L,L,Loss,"Jan 3, 2026",8
29,2,21.0,L,W,Battle,"Jun 21, 2025",1
29,3,40.0,L,L,Loss,"Jul 19, 2025",2
29,4,32.0,L,L,Loss,"Aug 16, 2025",3
29,5,51.0,W,W,Win,"Sep 13, 2025",4
29,6,35.0,W,L,Preparation,"Oct 11, 2025",5
29,7,9.0,W,L,Preparation,"Nov 8, 2025",6
29,8,70.0,W,L,Preparation,"Dec 6, 2025",7
29,9,32.0,W,L,Preparation,"Jan 3, 2026",8
30,2,17.0,L,L,Loss,"Jun 21, 2025",1
30,3,50.0,W,W,Win,"Jul 19, 2025",2
30,4,93.0,L,W,Battle,"Aug 16, 2025",3
30,5,48.0,W,W,Win,"Sep 13, 2025",4
30,6,39.0,L,W,Battle,"Oct 11, 2025",5
30,7,17.0,W,L,Preparation,"Nov 8, 2025",6
30,8,10.0,W,W,Win,"Dec 6, 2025",7
30,9,23.0,W,L,Preparation,"Jan 3, 2026",8
31,2,52.0,L,L,Loss,"Jun 21, 2025",1
31,4,73.0,L,L,Loss,"Aug 16, 2025",2
31,5,21.0,W,W,Win,"Sep 13, 2025",3
31,6,55.0,L,L,Loss,"Oct 11, 2025",4
31,7,63.0,L,L,Loss,"Nov 8, 2025",5
31,8,35.0,W,W,Win,"Dec 6, 2025",6
31,9,17.0,L,L,Loss,"Jan 3, 2026",7
32,2,24.0,W,L,Preparation,"Jun 21, 2025",1
32,3,54.0,W,W,Win,"Jul 19, 2025",2
32,4,29.0,W,W,Win,"Aug 16, 2025",3
32,5,37.0,L,L,Loss,"Sep 13, 2025",4
32,6,51.0,W,W,Win,"Oct 11, 2025",5
32,7,28.0,L,L,Loss,"Nov 8, 2025",6
32,8,15.0,W,L,Preparation,"Dec 6, 2025",7
32,9,29.0,L,W,Battle,"Jan 3, 2026",8
33,2,15.0,L,L,Loss,"Jun 21, 2025",1
33,3,24.0,L,L,Loss,"Jul 19, 2025",2
33,4,71.0,W,W,Win,"Aug 16, 2025",3
33,5,10.0,W,L,Preparation,"Sep 13, 2025",4
33,6,15.0,W,W,Win,"Oct 11, 2025",5
33,7,22.0,W,W,Win,"Nov 8, 2025",6
33,8,18.0,W,L,Preparation,"Dec 6, 2025",7
33,9,7.0,W,W,Win,"Jan 3, 2026",8
34,2,41.0,L,W,Battle,"Jun 21, 2025",1
34,3,55.0,L,L,Loss,"Jul 19, 2025",2
34,4,27.0,W,L,Preparation,"Aug 16, 2025",3
34,5,53.0,W,W,Win,"Sep 13, 2025",4
34,6,41.0,L,L,Loss,"Oct 11, 2025",5
34,7,35.0,W,W,Win,"Nov 8, 2025",6
34,8,60.0,L,L,Loss,"Dec 6, 2025",7
34,9,28.0,W,W,Win,"Jan 3, 2026",8
35,2,36.0,W,W,Win,"Jun 21, 2025",1
35,3,66.0,L,L,Loss,"Jul 19, 2025",2
35,4,124.0,L,W,Battle,"Aug 16, 2025",3
35,5,62.0,L,L,Loss,"Sep 13, 2025",4
35,6,29.0,L,W,Battle,"Oct 11, 2025",5
35,7,34.0,L,L,Loss,"Nov 8, 2025",6
35,8,31.0,L,L,Loss,"Dec 6, 2025",7
35,9,47.0,L,L,Loss,"Jan 3, 2026",8
36,2,35.0,L,L,Loss,"Jun 21, 2025",1
36,3,67.0,W,W,Win,"Jul 19, 2025",2
36,4,116.0,L,W,Battle,"Aug 16, 2025",3
36,5,26.0,W,W,Win,"Sep 13, 2025",4
36,6,12.0,L,L,Loss,"Oct 11, 2025",5
36,7,58.0,W,W,Win,"Nov 8, 2025",6
36,8,25.0,W,W,Win,"Dec 6, 2025",7
36,9,61.0,L,W,Battle,"Jan 3, 2026",8
37,2,22.0,W,L,Preparation,"Jun 21, 2025",1
37,3,53.0,W,L,Preparation,"Jul 19, 2025",2
37,4,140.0,L,W,Battle,"Aug 16, 2025",3
37,5,32.0,W,W,Win,"Sep 13, 2025",4
37,6,27.0,L,L,Loss,"Oct 11, 2025",5
37,7,40.0,W,L,Preparation,"Nov 8, 2025",6
37,8,68.0,L,W,Battle,"Dec 6, 2025",7
37,9,19.0,L,W,Battle,"Jan 3, 2026",8
38,2,62.0,L,W,Battle,"Jun 21, 2025",1
38,3,39.0,L,L,Loss,"Jul 19, 2025",2
38,4,152.0,L,W,Battle,"Aug 16, 2025",3
38,5,15.0,W,L,Preparation,"Sep 13, 2025",4
38,6,54.0,L,L,Loss,"Oct 11, 2025",5
38,7,43.0,L,W,Battle,"Nov 8, 2025",6
38,8,39.0,L,L,Loss,"Dec 6, 2025",7
38,9,42.0,L,W,Battle,"Jan 3, 2026",8
39,2,59.0,W,L,Preparation,"Jun 21, 2025",1
39,3,38.0,W,W,Win,"Jul 19, 2025",2
39,4,110.0,W,W,Win,"Aug 16, 2025",3
39,5,50.0,W,W,Win,"Sep 13, 2025",4
39,6,30.0,W,L,Preparation,"Oct 11, 2025",5
39,7,23.0,W,L,Preparation,"Nov 8, 2025",6
39,8,38.0,W,W,Win,"Dec 6, 2025",7
39,9,60.0,W,L,Preparation,"Jan 3, 2026",8
40,2,51.0,L,L,Loss,"Jun 21, 2025",1
40,3,29.0,W,W,Win,"Jul 19, 2025",2
40,4,172.0,L,L,Loss,"Aug 16, 2025",3
40,5,28.0,W,W,Win,"Sep 13, 2025",4
40,6,50.0,W,L,Preparation,"Oct 11, 2025",5
40,7,37.0,L,W,Battle,"Nov 8, 2025",6
40,8,77.0,L,W,Battle,"Dec 6, 2025",7
40,9,59.0,W,L,Preparation,"Jan 3, 2026",8
41,2,34.0,W,L,Preparation,"Jun 21, 2025",1
41,3,21.0,L,W,Battle,"Jul 19, 2025",2
41,4,105.0,L,L,Loss,"Aug 16, 2025",3
41,5,54.0,L,L,Loss,"Sep 13, 2025",4
41,6,34.0,W,W,Win,"Oct 11, 2025",5
41,7,48.0,L,L,Loss,"Nov 8, 2025",6
41,8,59.0,L,L,Loss,"Dec 6, 2025",7
41,9,53.0,L,W,Battle,"Jan 3, 2026",8
42,2,19.0,W,W,Win,"Jun 21, 2025",1
42,3,17.0,W,L,Preparation,"Jul 19, 2025",2
42,4,166.0,L,W,Battle,"Aug 16, 2025",3
42,5,67.0,W,W,Win,"Sep 13, 2025",4
42,6,13.0,W,W,Win,"Oct 11, 2025",5
42,7,24.0,L,L,Loss,"Nov 8, 2025",6
42,8,28.0,W,L,Preparation,"Dec 6, 2025",7
42,9,38.0,W,L,Preparation,"Jan 3, 2026",8
43,2,9.0,W,W,Win,"Jun 21, 2025",1
43,3,22.0,W,W,Win,"Jul 19, 2025",2
43,4,113.0,L,W,Battle,"Aug 16, 2025",3
43,5,59.0,L,W,Battle,"Sep 13, 2025",4
43,6,67.0,L,L,Loss,"Oct 11, 2025",5
43,7,38.0,W,L,Preparation,"Nov 8, 2025",6
43,8,9.0,W,L,Preparation,"Dec 6, 2025",7
43,9,65.0,W,W,Win,"Jan 3, 2026",8
44,2,25.0,L,W,Battle,"Jun 21, 2025",1
44,3,15.0,W,W,Win,"Jul 19, 2025",2
44,4,163.0,L,L,Loss,"Aug 16, 2025",3
44,5,11.0,W,W,Win,"Sep 13, 2025",4
44,6,59.0,W,W,Win,"Oct 11, 2025",5
44,7,62.0,L,W,Battle,"Nov 8, 2025",6
44,8,45.0,L,L,Loss,"Dec 6, 2025",7
44,9,57.0,L,L,Loss,"Jan 3, 2026",8
45,2,10.0,W,W,Win,"Jun 21, 2025",1
45,3,57.0,L,W,Battle,"Jul 19, 2025",2
45,4,59.0,L,W,Battle,"Aug 16, 2025",3
45,5,18.0,W,W,Win,"Sep 13, 2025",4
45,6,57.0,W,W,Win,"Oct 11, 2025",5
45,7,3.0,W,L,Preparation,"Nov 8, 2025",6
45,8,44.0,W,W,Win,"Dec 6, 2025",7
45,9,62.0,L,W,Battle,"Jan 3, 2026",8
46,2,60.0,L,W,Battle,"Jun 21, 2025",1
46,3,10.0,L,L,Loss,"Jul 19, 2025",2
46,4,129.0,L,L,Loss,"Aug 16, 2025",3
46,5,55.0,W,W,Win,"Sep 13, 2025",4
46,6,28.0,W,W,Win,"Oct 11, 2025",5
46,7,54.0,L,W,Battle,"Nov 8, 2025",6
46,8,78.0,L,W,Battle,"Dec 6, 2025",7
46,9,50.0,W,W,Win,"Jan 3, 2026",8
47,2,27.0,W,W,Win,"Jun 21, 2025",1
47,3,58.0,L,L,Loss,"Jul 19, 2025",2
47,4,94.0,L,W,Battle,"Aug 16, 2025",3
47,5,66.0,L,L,Loss,"Sep 13, 2025",4
47,6,64.0,L,L,Loss,"Oct 11, 2025",5
47,7,16.0,W,W,Win,"Nov 8, 2025",6
47,8,104.0,W,L,Preparation,"Dec 6, 2025",7
47,9,35.0,W,W,Win,"Jan 3, 2026",8
48,2,54.0,L,W,Battle,"Jun 21, 2025",1
48,3,62.0,L,L,Loss,"Jul 19, 2025",2
48,4,84.0,L,W,Battle,"Aug 16, 2025",3
48,5,30.0,L,L,Loss,"Sep 13, 2025",4
48,6,56.0,L,L,Loss,"Oct 11, 2025",5
48,7,41.0,W,W,Win,"Nov 8, 2025",6
48,8,8.0,W,L,Preparation,"Dec 6, 2025",7
48,9,67.0,W,L,Preparation,"Jan 3, 2026",8
49,2,68.0,L,L,Loss,"Jun 21, 2025",1
49,3,64.0,W,W,Win,"Jul 19, 2025",2
49,4,85.0,W,W,Win,"Aug 16, 2025",3
49,5,16.0,W,W,Win,"Sep 13, 2025",4
49,6,19.0,L,L,Loss,"Oct 11, 2025",5
49,7,53.0,L,L,Loss,"Nov 8, 2025",6
49,8,87.0,L,L,Loss,"Dec 6, 2025",7
49,9,56.0,L,W,Battle,"Jan 3, 2026",8
50,2,67.0,L,L,Loss,"Jun 21, 2025",1
50,3,30.0,L,L,Loss,"Jul 19, 2025",2
50,4,56.0,W,W,Win,"Aug 16, 2025",3
50,5,39.0,L,L,Loss,"Sep 13, 2025",4
50,6,40.0,L,W,Battle,"Oct 11, 2025",5
50,7,56.0,L,W,Battle,"Nov 8, 2025",6
50,8,61.0,L,L,Loss,"Dec 6, 2025",7
50,9,46.0,L,L,Loss,"Jan 3, 2026",8
51,2,40.0,W,W,Win,"Jun 21, 2025",1
51,3,61.0,L,L,Loss,"Jul 19, 2025",2
51,4,145.0,L,W,Battle,"Aug 16, 2025",3
51,5,29.0,L,L,Loss,"Sep 13, 2025",4
51,6,32.0,L,L,Loss,"Oct 11, 2025",5
51,7,55.0,L,L,Loss,"Nov 8, 2025",6
51,8,89.0,L,W,Battle,"Dec 6, 2025",7
51,9,63.0,L,L,Loss,"Jan 3, 2026",8
52,2,31.0,W,W,Win,"Jun 21, 2025",1
52,3,63.0,L,L,Loss,"Jul 19, 2025",2
52,4,112.0,L,L,Loss,"Aug 16, 2025",3
52,5,23.0,L,L,Loss,"Sep 13, 2025",4
52,6,63.0,L,W,Battle,"Oct 11, 2025",5
52,7,65.0,W,W,Win,"Nov 8, 2025",6
52,8,79.0,L,L,Loss,"Dec 6, 2025",7
52,9,64.0,L,L,Loss,"Jan 3, 2026",8
53,2,75.0,W,L,Preparation,"Jun 21, 2025",1
53,3,37.0,L,W,Battle,"Jul 19, 2025",2
53,4,101.0,L,L,Loss,"Aug 16, 2025",3
53,5,34.0,L,L,Loss,"Sep 13, 2025",4
53,6,60.0,L,W,Battle,"Oct 11, 2025",5
53,7,49.0,W,W,Win,"Nov 8, 2025",6
53,8,74.0,W,W,Win,"Dec 6, 2025",7
53,9,41.0,W,L,Preparation,"Jan 3, 2026",8
54,2,48.0,W,L,Preparation,"Jun 21, 2025",1
54,3,32.0,L,L,Loss,"Jul 19, 2025",2
54,4,103.0,L,W,Battle,"Aug 16, 2025",3
54,5,41.0,W,W,Win,"Sep 13, 2025",4
54,6,38.0,W,W,Win,"Oct 11, 2025",5
54,7,46.0,W,L,Preparation,"Nov 8, 2025",6
54,8,94.0,W,W,Win,"Dec 6, 2025",7
54,9,66.0,W,L,Preparation,"Jan 3, 2026",8
55,2,84.0,L,L,Loss,"Jun 21, 2025",1
55,3,34.0,W,W,Win,"Jul 19, 2025",2
55,4,100.0,W,L,Preparation,"Aug 16, 2025",3
55,5,46.0,L,L,Loss,"Sep 13, 2025",4
55,6,31.0,W,W,Win,"Oct 11, 2025",5
55,7,51.0,W,W,Win,"Nov 8, 2025",6
55,8,97.0,L,L,Loss,"Dec 6, 2025",7
55,9,58.0,W,L,Preparation,"Jan 3, 2026",8
56,2,72.0,L,L,Loss,"Jun 21, 2025",1
56,3,23.0,L,W,Battle,"Jul 19, 2025",2
56,4,50.0,L,L,Loss,"Aug 16, 2025",3
56,5,22.0,L,W,Battle,"Sep 13, 2025",4
56,6,48.0,W,W,Win,"Oct 11, 2025",5
56,7,50.0,W,L,Preparation,"Nov 8, 2025",6
56,8,91.0,W,W,Win,"Dec 6, 2025",7
56,9,49.0,W,L,Preparation,"Jan 3, 2026",8
57,2,76.0,W,W,Win,"Jun 21, 2025",1
57,3,45.0,W,L,Preparation,"Jul 19, 2025",2
57,4,26.0,W,W,Win,"Aug 16, 2025",3
57,5,24.0,L,W,Battle,"Sep 13, 2025",4
57,6,45.0,L,L,Loss,"Oct 11, 2025",5
57,7,66.0,L,W,Battle,"Nov 8, 2025",6
57,8,90.0,L,L,Loss,"Dec 6, 2025",7
57,9,44.0,W,W,Win,"Jan 3, 2026",8
58,2,65.0,W,W,Win,"Jun 21, 2025",1
58,3,47.0,W,W,Win,"Jul 19, 2025",2
58,4,78.0,L,W,Battle,"Aug 16, 2025",3
58,5,17.0,W,L,Preparation,"Sep 13, 2025",4
58,6,18.0,W,L,Preparation,"Oct 11, 2025",5
58,7,36.0,L,L,Loss,"Nov 8, 2025",6
58,8,73.0,L,L,Loss,"Dec 6, 2025",7
58,9,55.0,L,W,Battle,"Jan 3, 2026",8
59,2,39.0,L,W,Battle,"Jun 21, 2025",1
59,3,20.0,W,W,Win,"Jul 19, 2025",2
59,4,45.0,W,L,Preparation,"Aug 16, 2025",3
59,5,43.0,W,L,Preparation,"Sep 13, 2025",4
59,6,44.0,L,L,Loss,"Oct 11, 2025",5
59,7,67.0,L,L,Loss,"Nov 8, 2025",6
59,8,41.0,W,W,Win,"Dec 6, 2025",7
59,9,40.0,L,W,Battle,"Jan 3, 2026",8
60,2,46.0,W,L,Preparation,"Jun 21, 2025",1
60,3,65.0,W,W,Win,"Jul 19, 2025",2
60,4,90.0,L,L,Loss,"Aug 16, 2025",3
60,5,20.0,W,L,Preparation,"Sep 13, 2025",4
