Date,Affected pages
2026-02-06,0
2026-02-07,31
2026-02-08,31
2026-02-09,31
2026-02-10,172
2026-02-11,172
2026-02-12,172
2026-02-13,172
2026-02-14,172
2026-02-15,172
2026-02-16,172
2026-02-17,172
2026-02-18,172
2026-02-19,172
2026-02-20,172
