kingdom_number,total_kvks,prep_wins,prep_losses,prep_win_rate,prep_win_streak,battle_wins,battle_losses,battle_win_rate,battle_win_streak,dominations,defeats,most_recent_status,overall_score
869,3,3,0,1.0,3,1,2,0.333,2,1,0,Unannounced,5.25
870,1,0,1,0.0,1,0,1,0.0,1,0,1,Unannounced,-1.15
871,3,1,2,0.333,1,1,2,0.333,2,0,1,Unannounced,1.29
872,3,1,2,0.333,2,1,2,0.333,2,1,2,Unannounced,1.73
873,3,0,3,0.0,3,2,1,0.667,2,0,1,Unannounced,2.28
874,3,1,2,0.333,1,1,2,0.333,2,0,1,Unannounced,1.96
875,3,2,1,0.667,2,2,1,0.667,2,2,1,Unannounced,4.92
876,3,2,1,0.667,2,3,0,1.0,3,2,0,Unannounced,8.76
877,3,1,2,0.333,2,1,2,0.333,2,1,2,Unannounced,1.73
878,3,1,2,0.333,2,1,2,0.333,2,1,2,Unannounced,0.62
879,3,2,1,0.667,2,2,1,0.667,2,2,1,Unannounced,6.03
880,3,2,1,0.667,2,2,1,0.667,2,2,1,Unannounced,4.92
881,3,2,1,0.667,2,3,0,1.0,3,2,0,Unannounced,8.31
882,3,1,2,0.333,2,1,2,0.333,2,1,2,Unannounced,0.62
883,3,0,3,0.0,3,2,1,0.667,2,0,1,Unannounced,2.95
884,3,1,2,0.333,2,1,2,0.333,2,1,2,Unannounced,0.62
885,3,0,3,0.0,3,1,2,0.333,1,0,2,Unannounced,0.04
886,3,0,3,0.0,3,0,3,0.0,3,0,3,Unannounced,-2.05
887,3,0,3,0.0,3,0,3,0.0,3,0,3,Unannounced,-2.05
888,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
889,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
890,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
891,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
892,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
893,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
894,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.37
895,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
896,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
897,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
898,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
899,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
900,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
901,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
902,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
903,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
904,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
905,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
906,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
907,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
908,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
909,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
910,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
911,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
912,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
913,2,0,2,0.0,2,2,0,1.0,2,0,0,Unannounced,4.48
914,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
915,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
916,2,1,1,0.5,1,1,1,0.5,1,0,0,Unannounced,2.89
917,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
918,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
919,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,5.9
920,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
921,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.37
922,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
923,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
924,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
925,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
926,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
927,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.37
928,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.37
929,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,1.19
930,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,0.8
931,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
932,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.87
933,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
934,2,0,2,0.0,2,1,1,0.5,1,0,1,Unannounced,0.8
935,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,6.16
936,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
937,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
938,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.37
939,2,1,1,0.5,1,2,0,1.0,2,1,0,Unannounced,6.16
940,2,2,0,1.0,2,2,0,1.0,2,2,0,Unannounced,8.57
941,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
942,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,4.81
943,2,2,0,1.0,2,1,1,0.5,1,1,0,Unannounced,5.06
944,2,1,1,0.5,1,1,1,0.5,1,1,1,Unannounced,2.23
945,2,1,1,0.5,1,0,2,0.0,2,0,1,Unannounced,0.75
946,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
947,2,0,2,0.0,2,0,2,0.0,2,0,2,Unannounced,-1.66
