,Transfer #1,"Sep 15, 2025",Transfer #2,"Nov 10, 2025",Transfer #3,"Jan 5, 2026",Transfer #4,"Jan 5, 2026"
Kingdom,Group,Status,Group,Status,Group,Status,Group,Leading
94,3,Leading,1,Ordinary,2,Ordinary,2,Ordinary
95,3,Leading,1,Ordinary,2,Ordinary,2,Ordinary
96,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
97,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
98,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
99,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
100,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
101,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
102,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
103,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
104,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
105,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
106,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
107,3,Leading,1,Ordinary,2,Ordinary,2,Ordinary
108,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
109,3,Ordinary,1,Ordinary,2,Leading,2,Ordinary
110,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
111,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
112,3,Ordinary,1,Ordinary,2,Ordinary,2,Leading
113,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
114,3,Leading,1,Ordinary,2,Ordinary,2,Ordinary
115,3,Ordinary,1,Ordinary,2,Ordinary,2,Ordinary
116,3,Ordinary,2,Leading,3,Leading,2,Ordinary
117,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
118,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
119,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
120,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
121,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
122,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
123,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
124,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
125,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
126,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
127,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
128,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
129,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
130,3,Ordinary,2,Leading,3,Leading,2,Ordinary
131,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
132,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
133,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
134,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
135,3,Ordinary,2,Leading,3,Ordinary,2,Ordinary
136,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
137,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
138,3,Ordinary,2,Leading,3,Leading,2,Ordinary
139,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
140,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
141,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
142,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
143,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
144,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
145,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
146,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
147,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
148,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
149,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
150,3,Ordinary,2,Leading,3,Ordinary,2,Ordinary
151,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
152,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
153,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
154,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
155,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
156,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
157,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
158,3,Ordinary,2,Leading,3,Leading,2,Ordinary
159,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
160,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
161,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
162,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
163,3,Ordinary,2,Leading,3,Ordinary,2,Ordinary
164,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
165,3,Ordinary,2,Leading,3,Leading,2,Ordinary
166,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
167,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
168,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
169,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
170,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
171,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
172,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
173,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
174,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
175,3,Ordinary,2,Ordinary,3,Ordinary,2,Ordinary
176,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
177,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
178,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
179,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
180,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
181,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
182,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
183,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
184,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
185,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
186,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
187,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
188,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
189,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
190,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
191,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
192,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
193,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
194,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
195,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
196,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
197,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
198,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
199,N/A,N/A,2,Ordinary,3,Ordinary,3,Leading
200,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
201,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
202,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
203,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
204,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
205,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
206,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
207,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
208,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
209,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
210,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
211,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
212,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
213,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
214,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
215,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
216,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
217,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
218,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
219,N/A,N/A,2,Ordinary,3,Ordinary,3,Leading
220,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
221,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
222,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
223,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
224,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
225,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
226,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
227,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
228,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
229,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
230,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
231,N/A,N/A,2,Ordinary,3,Ordinary,3,Leading
232,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
233,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
234,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
235,N/A,N/A,2,Ordinary,3,Ordinary,3,Ordinary
236,N/A,N/A,3,Leading,3,Ordinary,3,Ordinary
237,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
238,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
239,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
240,N/A,N/A,3,Leading,3,Leading,3,Leading
241,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
242,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
243,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
244,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
245,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
246,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
247,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
248,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
249,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
250,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
251,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
252,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
253,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
254,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
255,N/A,N/A,3,Leading,3,Leading,3,Leading
256,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
257,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
258,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
259,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
260,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
261,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
262,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
263,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
264,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
265,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
266,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
267,N/A,N/A,3,Leading,3,Leading,3,Ordinary
268,N/A,N/A,3,Leading,3,Ordinary,3,Ordinary
269,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
270,N/A,N/A,3,Ordinary,3,Ordinary,3,Ordinary
