Date,Affected pages
2026-02-06,0
2026-02-07,0
2026-02-08,0
2026-02-09,0
2026-02-10,8
2026-02-11,8
2026-02-12,8
2026-02-13,8
2026-02-14,10
2026-02-15,10
2026-02-16,10
2026-02-17,10
2026-02-18,10
2026-02-19,10
2026-02-20,10
